u,v,highway,street_name,is_screened_candidate,length_m,free_flow_time_min,capacity_veh_hr,baseline_flow,vc_ratio,system_cost_without,system_cost_baseline,delta_cost,pct_change,is_braess,convergence_gap,reliable,braess_mag,braess_norm,vc_redundancy,redundancy_score,betweenness
939271241,6114610823,residential,Gurjar Samrat Mihirkul Hoon Marg,True,167.9,0.336,400,599.75,1.4994,30673.5831,30426.7521,246.831,0.8112,False,0.00013521439901822244,True,0.0,0.0,0.0,0.0,0.0384952818158633
11644888240,6636697300,residential,(unnamed road),True,124.3,0.249,400,568.06,1.4202,31320.3189,30426.7521,893.5668,2.9368,False,9.162137934963655e-05,True,0.0,0.0,0.0,0.0,0.05887273654679929
11013399596,6484687237,tertiary,Kalka Devi Marg,True,75.8,0.114,700,961.34,1.3733,30874.9847,30426.7521,448.2326,1.4732,False,0.00013618432357357892,True,0.0,0.0,0.0,0.0,0.04571282836011222
1805785704,1805785701,tertiary,Shiv Mandir Marg,True,143.4,0.215,700,884.71,1.2639,31008.8475,30426.7521,582.0954,1.9131,False,6.917845685906506e-05,True,0.0,0.0,0.0,0.0,0.11425656720224434
6114610838,11013424797,tertiary,Kalka Devi Marg,True,130.0,0.195,700,861.28,1.2304,30516.719,30426.7521,89.967,0.2957,False,0.00012342957850227184,True,0.0,0.0,0.0,0.0,0.02879367508288702
563126319,1763185386,secondary,(unnamed road),True,138.3,0.166,1000,1499.57,1.4996,32121.6755,30426.7521,1694.9235,5.5705,False,6.26059990222042e-05,True,0.0,0.0,0.0,0.0,0.14398367763325684
6616415230,6616415228,residential,(unnamed road),True,157.8,0.316,400,500.0,1.25,30774.9896,30426.7521,348.2375,1.1445,False,0.00012083349531474254,True,0.0,0.0,0.0,0.0,0.0667890844172405
6436233354,6436233352,residential,(unnamed road),True,126.2,0.252,400,531.73,1.3293,30728.3569,30426.7521,301.6049,0.9912,False,0.0001316023040556909,True,0.0,0.0,0.0,0.0,0.021984187707217547
250100205,250100352,tertiary,(unnamed road),True,107.8,0.162,700,799.45,1.1421,31724.3879,30426.7521,1297.6358,4.2648,False,0.00013824820068778426,True,0.0,0.0,0.0,0.0,0.06077021168069371
9107064335,12880308806,secondary,Captain Gaur Marg,True,207.4,0.249,1000,1261.28,1.2613,31358.1884,30426.7521,931.4363,3.0612,False,8.308739763420104e-05,True,0.0,0.0,0.0,0.0,0.11258862535067586
9700373995,1740169832,residential,(unnamed road),True,61.8,0.124,400,500.01,1.25,30981.0576,30426.7521,554.3056,1.8218,False,0.00011279520080494801,True,0.0,0.0,0.0,0.0,0.011578678908441725
6114610823,10598842220,tertiary,Kalka Devi Marg,True,156.9,0.235,700,861.28,1.2304,30879.9121,30426.7521,453.16,1.4893,False,0.00015718913088641354,True,0.0,0.0,0.0,0.0,0.030854373884213214
1796568500,5579662828,tertiary_link,(unnamed road),True,41.8,0.084,500,700.07,1.4001,31352.8651,30426.7521,926.1131,3.0437,False,9.770121717869853e-05,True,0.0,0.0,0.0,0.0,0.08845702626880898
6616415230,6436233354,residential,(unnamed road),True,122.4,0.245,400,732.0,1.83,36736.7113,30426.7521,6309.9592,20.7382,False,0.00042680621594493804,True,0.0,0.0,0.0,0.0,0.04081611833715889
6436323912,563155207,primary_link,Mahatma Gandhi Marg,False,11.8,0.014,1000,1661.49,1.6615,34791.1947,30426.7521,4364.4426,14.3441,False,8.633645095770763e-05,True,0.0,0.0,0.0,0.0,0.17794440193828107
