u,v,highway,street_name,is_screened_candidate,length_m,free_flow_time_min,capacity_veh_hr,baseline_flow,vc_ratio,system_cost_without,system_cost_baseline,delta_cost,pct_change,is_braess,convergence_gap,reliable,braess_mag,braess_norm,vc_redundancy,redundancy_score,betweenness
4761188838,4761188839,primary,(unnamed road),True,11.6,0.012,1500,1092.66,0.7284,28704.8688,27807.8521,897.0167,3.2258,False,6.530078509347501e-05,True,0.0,0.0,0.27159999999999995,0.10863999999999999,0.09605928790075721
4761188839,11896408352,primary,(unnamed road),True,236.2,0.236,1500,1292.66,0.8618,28895.8596,27807.8521,1088.0076,3.9126,False,6.059431183588105e-05,True,0.0,0.0,0.1382,0.055279999999999996,0.09722893507330432
3801688116,3801688120,secondary,(unnamed road),True,246.0,0.295,1000,900.0,0.9,28014.1755,27807.8521,206.3234,0.742,False,7.190077720256057e-05,True,0.0,0.0,0.09999999999999998,0.039999999999999994,0.05181891412920896
260729388,3452278572,secondary,(unnamed road),True,336.2,0.403,1000,900.08,0.9001,28426.8239,27807.8521,618.9719,2.2259,False,7.814736852046194e-05,True,0.0,0.0,0.09989999999999999,0.039959999999999996,0.06555501852746898
3145158634,11493846392,secondary,(unnamed road),True,98.5,0.118,1000,1000.21,1.0002,28330.1929,27807.8521,522.3409,1.8784,False,0.00011228506299066248,True,0.0,0.0,0.0,0.0,0.08636056065732238
1391210514,1391210496,residential,(unnamed road),True,31.9,0.064,400,523.65,1.3091,28250.2605,27807.8521,442.4084,1.5909,False,6.07749399365569e-05,True,0.0,0.0,0.0,0.0,0.06689221846302561
6454722370,3399683430,secondary,(unnamed road),True,55.7,0.067,1000,1317.5,1.3175,28141.7178,27807.8521,333.8658,1.2006,False,7.065841968199657e-05,True,0.0,0.0,0.0,0.0,0.08811342033188335
303931703,7263010437,secondary,(unnamed road),True,111.9,0.134,1000,1000.08,1.0001,28375.7886,27807.8521,567.9365,2.0424,False,7.150431841065251e-05,True,0.0,0.0,0.0,0.0,0.09269212179797003
1468540687,9363518173,secondary,(unnamed road),True,193.9,0.233,1000,1200.0,1.2,28615.7077,27807.8521,807.8557,2.9051,False,9.769275037212591e-05,True,0.0,0.0,0.0,0.0,0.11778314805864346
6528476360,6454722370,secondary,(unnamed road),True,57.4,0.069,1000,1317.5,1.3175,28087.4211,27807.8521,279.569,1.0054,False,7.748677497879119e-05,True,0.0,0.0,0.0,0.0,0.08124375704849364
